date,pm25,pm10,no2,so2,co
2021/8/12, 60, 10, , 3, 
2021/8/13, 35, 8, , 1, 
2021/8/14, 26, 8, , 1, 
2021/8/15, 19, 8, , 1, 
2021/8/16, 18, 6, 1, 1, 
2021/8/17, 15, 6, , 1, 
2021/8/18, 17, 6, , 1, 
2021/8/19, 12, 5, , 1, 
2021/8/20, 13, 6, , 1, 
2021/8/21, 16, 4, , 1, 
2021/8/22, 7, 4, , 1, 
2021/8/23, 13, 4, , 1, 
2021/8/24, 9, 5, , 1, 
2021/8/25, 13, 4, , 1, 
2021/8/26, 16, 5, , 1, 
2021/8/27, 11, 8, , 3, 
2021/8/28, 20, 8, , 2, 
2021/8/29, 17, 7, , 2, 
2021/8/30, 21, 9, , 2, 
2021/8/31, 24, 7, , 1, 
2021/9/1, 13, 7, , 1, 
2021/9/2, 15, 6, , 1, 
2021/9/3, 14, 7, , , 
2021/9/4, 18, 7, , 1, 
2021/9/5, 13, 8, , 1, 
2021/9/6, 12, 7, , 1, 
2021/9/7, 13, 8, , 1, 
2021/9/8, 15, 9, , 2, 
2021/9/9, 28, 7, , 2, 
2021/9/10, 10, 6, , 1, 
2021/9/11, 15, 4, , 1, 
2021/9/12, 17, 6, , 1, 
2021/9/13, 26, 8, , 1, 
2021/9/14, 24, 6, , 1, 
2021/9/15, 12, 7, , 1, 
2021/9/16, 13, 7, , 1, 
2021/9/17, 26, 6, , 5, 
2021/9/18, 15, 5, , 2, 
2021/9/19, 17, 6, , 1, 
2021/9/20, 16, 43, , 1, 
2021/9/21, 20, 885, , 2, 
2021/9/22, 170, 130, , 1, 
2021/9/23, 12, 9, , 1, 
2021/9/24, 13, 6, , 1, 
2021/9/25, 12, 9, , 1, 
2021/9/26, 59, 21, , 1, 
2021/9/27, 104, 8, , 1, 
2021/9/28, 23, 11, , 2, 
2021/9/29, 19, 9, , 1, 
2021/9/30, 33, 11, , 2, 
2021/4/1, 24, 22, 9, , 
2021/4/2, 20, 11, 8, 1, 
2021/4/3, 12, 13, 3, , 
2021/4/4, 46, 14, 5, , 
2021/4/5, 46, 39, 11, 1, 
2021/4/6, 101, 16, 11, 6, 
2021/4/7, 34, 11, 9, 1, 
